,method,input_name,gamma,inc,idef,total_time,max_mem,timestamp,n_vars,n_worlds,n_params,n_edges,also_idef,optimizer,graph_id
56,cvx_opt_joint,cvx+idef,1e-15,0.15251058504155077,8.291793831521543,77.00238466262817,-1,2022-10-01 01:33:44.919404,10,1024,484,39,True,,2
57,cvx_opt_joint,cvx-idef,1e-15,1.2611827403476632,11.044072975504438,8.733802318572998,-1,2022-10-01 01:33:49.064905,10,1024,492,45,False,,3
58,cccp_opt_joint,2--cccp--gamma1e-02,0.010000000000001,0.15413462100514957,7.690046525200787,37.606724977493286,-1,2022-10-01 01:33:51.048259,10,1024,484,39,,,2
59,cccp_opt_joint,2--cccp--gamma1e+00,1.000000000000001,0.32980085523473407,6.619979994265714,28.27976632118225,-1,2022-10-01 01:33:52.038059,10,1024,484,39,,,2
60,opt_dist,1--torch(adam)--gamma2e+00,2.000000000000001,,-2.8664679176996,105.14502167701721,-1,2022-10-01 01:33:52.388757,10,1024,224,27,,adam,1
61,opt_dist,0--torch(lbfgs)--gamma1e-02,0.010000000000001,,10.079635456497218,202.9473717212677,-1,2022-10-01 01:33:52.650797,10,1024,326,34,,lbfgs,0
62,opt_dist,0--torch(lbfgs)--gamma1e-12,1.001e-12,,11.064975680336962,206.6139874458313,-1,2022-10-01 01:33:56.186390,10,1024,326,34,,lbfgs,0
63,opt_dist,2--torch(asgd)--gamma1e-12,1.001e-12,2.4755863371546516,6.999999999999998,78.36881446838379,-1,2022-10-01 01:34:04.262497,10,1024,484,39,,asgd,2
64,opt_dist,1--torch(lbfgs)--gamma2e+00,2.000000000000001,,-2.874589735227625,126.85800576210022,-1,2022-10-01 01:34:16.888350,10,1024,224,27,,lbfgs,1
65,opt_dist,2--torch(lbfgs)--gamma1e-12,1.001e-12,,8.3992009404875,108.1864743232727,-1,2022-10-01 01:34:20.999900,10,1024,484,39,,lbfgs,2
66,opt_dist,2--torch(lbfgs)--gamma1e-04,0.000100000000001,,8.30609427290775,73.34586477279663,-1,2022-10-01 01:34:21.110562,10,1024,484,39,,lbfgs,2
67,cccp_opt_joint,2--cccp--gamma2e+00,2.000000000000001,,-0.8703937692365824,45.59644913673401,-1,2022-10-01 01:34:25.586994,10,1024,484,39,,,2
68,cccp_opt_joint,2--cccp--gamma1e-08,1.0000001e-08,0.1525107883777334,8.372393041847651,100.69994902610779,-1,2022-10-01 01:34:26.837414,10,1024,484,39,,,2
69,opt_dist,1--torch(adam)--gamma1e-02,0.010000000000001,,7.824436942866496,205.69757437705994,-1,2022-10-01 01:34:30.367320,10,1024,224,27,,adam,1
70,opt_dist,2--torch(adam)--gamma1e+00,1.000000000000001,,6.563525985098709,75.97766494750977,-1,2022-10-01 01:34:42.486177,10,1024,484,39,,adam,2
71,opt_dist,1--torch(asgd)--gamma2e+00,2.000000000000001,2.1047589906426234,5.999999999999998,157.98821759223938,-1,2022-10-01 01:34:48.223846,10,1024,224,27,,asgd,1
72,opt_dist,2--torch(asgd)--gamma1e-08,1.0000001e-08,2.4755863371546516,6.999999999999998,121.08443593978882,-1,2022-10-01 01:35:03.366790,10,1024,484,39,,asgd,2
73,cccp_opt_joint,3--cccp--gamma1e+00,1.000000000000001,2.389428618608929,7.577218705199703,32.81588697433472,-1,2022-10-01 01:35:04.210094,10,1024,492,45,,,3
74,opt_dist,2--torch(asgd)--gamma1e-02,0.010000000000001,2.4755863371546516,6.999999999999998,109.19183087348938,-1,2022-10-01 01:35:07.606016,10,1024,484,39,,asgd,2
75,cccp_opt_joint,3--cccp--gamma1e-08,1.0000001e-08,1.2611851216936487,11.041819181982758,78.20578360557556,-1,2022-10-01 01:35:10.355975,10,1024,492,45,,,3
76,opt_dist,2--torch(lbfgs)--gamma1e-02,0.010000000000001,,7.74315807856843,118.94486832618713,-1,2022-10-01 01:35:13.622677,10,1024,484,39,,lbfgs,2
77,opt_dist,2--torch(lbfgs)--gamma1e-08,1.0000001e-08,,8.39891018975593,146.1998267173767,-1,2022-10-01 01:35:25.731510,10,1024,484,39,,lbfgs,2
78,opt_dist,3--torch(lbfgs)--gamma1e-08,1.0000001e-08,,11.135116976674762,104.08270239830017,-1,2022-10-01 01:35:37.489280,10,1024,492,45,,lbfgs,3
79,cccp_opt_joint,3--cccp--gamma2e+00,2.000000000000001,,0.6756562644510371,36.49348068237305,-1,2022-10-01 01:35:41.131494,10,1024,492,45,,,3
80,cccp_opt_joint,3--cccp--gamma1e-04,0.000100000000001,1.2611820691962943,10.964668793082746,109.78699088096619,-1,2022-10-01 01:35:46.820339,10,1024,492,45,,,3
81,cvx_opt_joint,cvx-idef,1e-15,0.8763380543451369,8.21143654832423,20.872076749801636,-1,2022-10-01 01:35:46.956582,10,1024,398,37,False,,4
82,opt_dist,2--torch(asgd)--gamma1e+00,1.000000000000001,2.4755863371546516,6.999999999999998,129.76793098449707,-1,2022-10-01 01:35:49.492331,10,1024,484,39,,asgd,2
83,opt_dist,3--torch(adam)--gamma1e-04,0.000100000000001,,11.237177604712151,120.60242056846619,-1,2022-10-01 01:35:59.910109,10,1024,492,45,,adam,3
84,cccp_opt_joint,3--cccp--gamma1e-02,0.010000000000001,1.2617880815460374,10.768156996132435,111.10370397567749,-1,2022-10-01 01:36:13.057776,10,1024,492,45,,,3
85,cccp_opt_joint,3--cccp--gamma1e-12,1.001e-12,1.261181917872143,11.047424600782204,196.67135620117188,-1,2022-10-01 01:36:58.965233,10,1024,492,45,,,3
86,opt_dist,2--torch(asgd)--gamma2e+00,2.000000000000001,2.4755863371546516,6.999999999999998,155.12861108779907,-1,2022-10-01 01:36:15.158306,10,1024,484,39,,asgd,2
87,opt_dist,2--torch(adam)--gamma1e-02,0.010000000000001,,7.882929185008336,182.4155900478363,-1,2022-10-01 01:36:16.075578,10,1024,484,39,,adam,2
88,opt_dist,2--torch(asgd)--gamma1e-04,0.000100000000001,2.4755863371546516,6.999999999999998,190.57495427131653,-1,2022-10-01 01:36:18.581586,10,1024,484,39,,asgd,2
89,opt_dist,3--torch(adam)--gamma2e+00,2.000000000000001,,-1.9670734886216747,80.00230765342712,-1,2022-10-01 01:36:28.361932,10,1024,492,45,,adam,3
90,opt_dist,3--torch(lbfgs)--gamma1e-02,0.010000000000001,,10.88457786440565,125.2707724571228,-1,2022-10-01 01:36:32.001938,10,1024,492,45,,lbfgs,3
91,opt_dist,3--torch(asgd)--gamma1e-04,0.000100000000001,3.9993519531876496,9.999999999999998,143.09741878509521,-1,2022-10-01 01:36:40.531595,10,1024,492,45,,asgd,3
92,opt_dist,3--torch(asgd)--gamma2e+00,2.000000000000001,3.9993519531876496,9.999999999999998,99.67801833152771,-1,2022-10-01 01:36:54.606714,10,1024,492,45,,asgd,3
93,opt_dist,3--torch(adam)--gamma1e-12,1.001e-12,,11.24431184246222,190.1681981086731,-1,2022-10-01 01:36:55.312318,10,1024,492,45,,adam,3
94,opt_dist,4--torch(adam)--gamma1e-08,1.0000001e-08,,7.966461191382955,52.697007179260254,-1,2022-10-01 01:36:58.629424,10,1024,398,37,,adam,4
95,opt_dist,1--torch(lbfgs)--gamma1e+00,1.000000000000001,,4.370931671814404,323.48123931884766,-1,2022-10-01 01:37:02.885618,10,1024,224,27,,lbfgs,1
96,opt_dist,3--torch(adam)--gamma1e-02,0.010000000000001,,10.927284257030816,163.1172389984131,-1,2022-10-01 01:37:05.291813,10,1024,492,45,,adam,3
97,opt_dist,2--torch(adam)--gamma1e-08,1.0000001e-08,,8.405780906320203,256.4802510738373,-1,2022-10-01 01:37:08.796562,10,1024,484,39,,adam,2
98,opt_dist,2--torch(lbfgs)--gamma1e+00,1.000000000000001,,6.612153375100655,212.4192659854889,-1,2022-10-01 01:37:09.386192,10,1024,484,39,,lbfgs,2
99,opt_dist,3--torch(asgd)--gamma1e-08,1.0000001e-08,3.9993519531876496,9.999999999999998,202.61260151863098,-1,2022-10-01 01:37:16.178576,10,1024,492,45,,asgd,3
100,opt_dist,4--torch(adam)--gamma1e-12,1.001e-12,,7.966461353152753,92.1376359462738,-1,2022-10-01 01:37:19.745824,10,1024,398,37,,adam,4
101,opt_dist,3--torch(lbfgs)--gamma1e+00,1.000000000000001,,7.344979476103938,150.98406434059143,-1,2022-10-01 01:37:19.766272,10,1024,492,45,,lbfgs,3
102,opt_dist,1--torch(lbfgs)--gamma1e-02,0.010000000000001,,7.697284462146708,376.18063282966614,-1,2022-10-01 01:37:24.888277,10,1024,224,27,,lbfgs,1
103,cccp_opt_joint,4--cccp--gamma1e+00,1.000000000000001,1.5943001532137624,4.5338140678355625,30.062413692474365,-1,2022-10-01 01:37:29.431140,10,1024,398,37,,,4
104,cccp_opt_joint,4--cccp--gamma1e-02,0.010000000000001,0.8775539729380851,7.831069210603035,58.48331141471863,-1,2022-10-01 01:37:39.652241,10,1024,398,37,,,4
105,cccp_opt_joint,4--cccp--gamma1e-04,0.000100000000001,0.8763382748235452,8.146689504017658,90.98724961280823,-1,2022-10-01 01:37:47.914201,10,1024,398,37,,,4
106,cvx_opt_joint,cvx-idef,1e-15,0.5360416103105695,8.592678332388402,25.00920009613037,-1,2022-10-01 01:37:50.584198,10,1024,388,35,False,,5
107,cccp_opt_joint,4--cccp--gamma2e+00,2.000000000000001,6.368505893060716,-0.09384374988707256,44.95373773574829,-1,2022-10-01 01:37:55.186086,10,1024,398,37,,,4
108,opt_dist,3--torch(asgd)--gamma1e+00,1.000000000000001,3.9993519531876496,9.999999999999998,176.50565934181213,-1,2022-10-01 01:38:00.792267,10,1024,492,45,,asgd,3
109,cvx_opt_joint,cvx+idef,1e-15,0.5360416912830427,7.572933996328343,31.195692777633667,-1,2022-10-01 01:38:01.575858,10,1024,388,35,True,,5
110,cccp_opt_joint,4--cccp--gamma1e-08,1.0000001e-08,0.8763390057977016,8.196658059087051,123.95400738716125,-1,2022-10-01 01:38:04.279352,10,1024,398,37,,,4
111,opt_dist,2--torch(lbfgs)--gamma2e+00,2.000000000000001,,-0.9859817009690287,267.2842652797699,-1,2022-10-01 01:38:07.315200,10,1024,484,39,,lbfgs,2
112,opt_dist,4--torch(asgd)--gamma1e-02,0.010000000000001,4.164573432617845,6.999999999999998,73.29411172866821,-1,2022-10-01 01:38:12.436896,10,1024,398,37,,asgd,4
113,cccp_opt_joint,4--cccp--gamma1e-12,1.001e-12,0.8763381911661555,8.208274959867037,151.12336707115173,-1,2022-10-01 01:38:13.270672,10,1024,398,37,,,4
114,opt_dist,4--torch(lbfgs)--gamma1e-04,0.000100000000001,,8.406296433331182,106.7911524772644,-1,2022-10-01 01:38:16.250369,10,1024,398,37,,lbfgs,4
115,opt_dist,2--torch(adam)--gamma1e-04,0.000100000000001,,8.400521905385883,314.9129693508148,-1,2022-10-01 01:38:19.240561,10,1024,484,39,,adam,2
116,cccp_opt_joint,5--cccp--gamma1e-12,1.001e-12,0.53604160312309,8.592642370052818,41.09257936477661,-1,2022-10-01 01:38:21.198527,10,1024,388,35,,,5
117,opt_dist,4--torch(lbfgs)--gamma1e-08,1.0000001e-08,,8.27540634698859,129.01321840286255,-1,2022-10-01 01:38:23.025065,10,1024,398,37,,lbfgs,4
